"","School","State","School.Type","Total.Disbursements","Year"
"1","Alaska Bible College","AK","Private/Non-profit",0,"2010-11"
"2","Alaska Christian College","AK","Private/Non-profit",10000,"2010-11"
"3","Alaska Pacific University","AK","Private/Non-profit",135451,"2010-11"
"4","Charter College","AK","Proprietary",333323,"2010-11"
"5","Ilisagvik College","AK","Public",47481,"2010-11"
"6","University of Alaska Anchorage","AK","Public",848628,"2010-11"
"7","University of Alaska Fairbanks","AK","Public",673302,"2010-11"
"8","University of Alaska Southeast","AK","Public",128253,"2010-11"
"9","Alabama Agricultural & Mechanical University","AL","Public",892053,"2010-11"
"10","Alabama Southern Community College","AL","Public",77136,"2010-11"
"11","Alabama State University","AL","Public",2016700,"2010-11"
"12","Amridge University","AL","Private/Non-profit",17452,"2010-11"
"13","Athens State University","AL","Public",142328,"2010-11"
"14","Auburn University","AL","Public",3179058,"2010-11"
"15","Auburn University Montgomery","AL","Public",593625,"2010-11"
"16","Bevill State Community College","AL","Public",266037,"2010-11"
"17","Birmingham Southern College","AL","Private/Non-profit",819762,"2010-11"
"18","Bishop State Community College","AL","Public",305475,"2010-11"
"19","Blue Cliff Career College","AL","Proprietary",0,"2010-11"
"20","Calhoun Community College","AL","Public",478082,"2010-11"
"21","Central Alabama Community College","AL","Public",137117,"2010-11"
"22","Chattahoochee Valley Community College","AL","Public",150708,"2010-11"
"23","Columbia Southern University","AL","Proprietary",66667,"2010-11"
"24","Concordia College","AL","Private/Non-profit",87841,"2010-11"
"25","Enterprise State Community College","AL","Public",146671,"2010-11"
"26","Faulkner University","AL","Private/Non-profit",557229,"2010-11"
"27","Fortis College","AL","Proprietary",276203,"2010-11"
"28","Fortis College","AL","Proprietary",73950,"2010-11"
"29","Gadsden State Community College","AL","Public",271455,"2010-11"
"30","George C. Wallace Community College","AL","Public",223640,"2010-11"
"31","George C. Wallace State Community College","AL","Public",300137,"2010-11"
"32","George Corley Wallace State Community College - Selma","AL","Public",178490,"2010-11"
"33","H. Councill Trenholm State Technical College","AL","Public",130188,"2010-11"
"34","Heritage Christian University","AL","Private/Non-profit",14096,"2010-11"
"35","Herzing University","AL","Proprietary",107067,"2010-11"
"36","Huntingdon College","AL","Private/Non-profit",294304,"2010-11"
"37","J F Drake State Technical College","AL","Public",75008,"2010-11"
"38","Jacksonville State University","AL","Public",690996,"2010-11"
