"","State","School.Type","Year","Sum.Type.campus"
"1"," AK"," Private","1415",112334
"2"," AK"," Public","1415",1551858
"3"," AL"," Private","1415",10256043
"4"," AL"," Proprietary","1415",3039909
"5"," AL"," Public","1415",26734581
"6"," AR"," Private","1415",5055833
"7"," AR"," Proprietary","1415",8060
"8"," AR"," Public","1415",15919552
"9"," AS"," Public","1415",123895
"10"," AZ"," Private","1415",909822
"11"," AZ"," Proprietary","1415",23514863
"12"," AZ"," Public","1415",26634235
"13"," CA"," Private","1415",118448049
"14"," CA"," Proprietary","1415",33671557
"15"," CA"," Public","1415",189170858
"16"," CO"," Private","1415",11001873
"17"," CO"," Proprietary","1415",5933603
"18"," CO"," Public","1415",29395781
"19"," CT"," Private","1415",27062817
"20"," CT"," Proprietary","1415",2918827
"21"," CT"," Public","1415",10916744
"22"," DC"," Private","1415",31346624
"23"," DC"," Proprietary","1415",2515939
"24"," DC"," Public","1415",717350
"25"," DE"," Private","1415",1636001
"26"," DE"," Proprietary","1415",61092
"27"," DE"," Public","1415",4748390
"28"," FL"," Private","1415",43253376
"29"," FL"," Proprietary","1415",10648697
"30"," FL"," Public","1415",62509008
"31"," GA"," Private","1415",23443563
"32"," GA"," Proprietary","1415",7904931
"33"," GA"," Public","1415",30304234
"34"," GU"," Private","1415",10000
"35"," GU"," Public","1415",662804
"36"," HI"," Private","1415",1328584
"37"," HI"," Proprietary","1415",59272
"38"," HI"," Public","1415",6152044
"39"," IA"," Private","1415",30731138
"40"," IA"," Proprietary","1415",6932142
"41"," IA"," Public","1415",18802677
"42"," ID"," Private","1415",1345328
"43"," ID"," Proprietary","1415",166727
"44"," ID"," Public","1415",9183447
"45"," IL"," Private","1415",86063993
"46"," IL"," Proprietary","1415",32378659
"47"," IL"," Public","1415",48950952
"48"," IN"," Private","1415",32741857
"49"," IN"," Proprietary","1415",14178281
"50"," IN"," Public","1415",37744305
"51"," KS"," Private","1415",9790008
"52"," KS"," Proprietary","1415",286771
"53"," KS"," Public","1415",23273591
"54"," KY"," Private","1415",16846835
"55"," KY"," Proprietary","1415",1547651
"56"," KY"," Public","1415",24844533
"57"," LA"," Private","1415",14531903
"58"," LA"," Proprietary","1415",923082
"59"," LA"," Public","1415",20884380
"60"," MA"," Private","1415",130432554
"61"," MA"," Proprietary","1415",1188969
"62"," MA"," Public","1415",28898952
"63"," MD"," Private","1415",16382117
"64"," MD"," Proprietary","1415",1293129
"65"," MD"," Public","1415",30059755
"66"," ME"," Private","1415",10902635
"67"," ME"," Proprietary","1415",107690
"68"," ME"," Public","1415",17385369
"69"," MI"," Private","1415",28303968
"70"," MI"," Proprietary","1415",887677
"71"," MI"," Public","1415",84207295
"72"," MN"," Private","1415",33486990
"73"," MN"," Proprietary","1415",7475380
"74"," MN"," Public","1415",33952443
"75"," MO"," Private","1415",36900399
"76"," MO"," Proprietary","1415",1685489
"77"," MO"," Public","1415",24204979
"78"," MP"," Public","1415",73933
"79"," MS"," Private","1415",4020719
"80"," MS"," Proprietary","1415",50526
"81"," MS"," Public","1415",29046804
"82"," MT"," Private","1415",1514700
"83"," MT"," Public","1415",10736286
"84"," NC"," Private","1415",31591288
"85"," NC"," Proprietary","1415",847022
"86"," NC"," Public","1415",44835163
"87"," ND"," Private","1415",1907930
"88"," ND"," Public","1415",10506640
"89"," NE"," Private","1415",9285284
"90"," NE"," Proprietary","1415",133274
"91"," NE"," Public","1415",12600352
"92"," NH"," Private","1415",12532289
"93"," NH"," Proprietary","1415",569573
"94"," NH"," Public","1415",12142511
"95"," NJ"," Private","1415",20913428
"96"," NJ"," Proprietary","1415",3042198
"97"," NJ"," Public","1415",34861040
"98"," NM"," Private","1415",455777
"99"," NM"," Proprietary","1415",657655
"100"," NM"," Public","1415",16554652
"101"," NV"," Private","1415",476038
"102"," NV"," Proprietary","1415",338956
"103"," NV"," Public","1415",6418298
"104"," NY"," Private","1415",212095298
"105"," NY"," Proprietary","1415",13276459
"106"," NY"," Public","1415",76149525
"107"," OH"," Private","1415",54557727
"108"," OH"," Proprietary","1415",3145248
"109"," OH"," Public","1415",66258936
"110"," OK"," Private","1415",11256195
"111"," OK"," Proprietary","1415",841038
"112"," OK"," Public","1415",19232322
"113"," OR"," Private","1415",16808853
"114"," OR"," Proprietary","1415",860755
"115"," OR"," Public","1415",31203069
"116"," PA"," Private","1415",114022039
"117"," PA"," Proprietary","1415",8931024
"118"," PA"," Public","1415",67961269
"119"," PR"," Private","1415",19542423
"120"," PR"," Proprietary","1415",6767942
"121"," PR"," Public","1415",7933098
"122"," PW"," Public","1415",159376
"123"," RI"," Private","1415",29934430
"124"," RI"," Public","1415",6238380
"125"," SC"," Private","1415",11825304
"126"," SC"," Proprietary","1415",486662
"127"," SC"," Public","1415",22087135
"128"," SD"," Private","1415",3195362
"129"," SD"," Proprietary","1415",1196171
"130"," SD"," Public","1415",9875533
"131"," TN"," Private","1415",28636048
"132"," TN"," Proprietary","1415",1521705
"133"," TN"," Public","1415",24456101
"134"," TX"," Private","1415",40036887
"135"," TX"," Proprietary","1415",5802772
"136"," TX"," Public","1415",91894571
"137"," UT"," Private","1415",3158439
"138"," UT"," Proprietary","1415",1278655
"139"," UT"," Public","1415",19201638
"140"," VA"," Private","1415",26130994
"141"," VA"," Proprietary","1415",3817418
"142"," VA"," Public","1415",34928563
"143"," VI"," Public","1415",157711
"144"," VT"," Private","1415",12465081
"145"," VT"," Proprietary","1415",69252
"146"," VT"," Public","1415",9224508
"147"," WA"," Private","1415",23423407
"148"," WA"," Proprietary","1415",1753779
"149"," WA"," Public","1415",36616837
"150"," WI"," Private","1415",24493446
"151"," WI"," Proprietary","1415",249640
"152"," WI"," Public","1415",56744738
"153"," WV"," Private","1415",4636197
"154"," WV"," Proprietary","1415",1178683
"155"," WV"," Public","1415",15194912
"156"," WY"," Private","1415",1841260
"157"," WY"," Public","1415",2880922
"158","AK","Private","1011",145451
"159","AK","Private","1112",122089
"160","AK","Private","1213",118814
"161","AK","Private","1314",115415
"162","AK","Proprietary","1011",333323
"163","AK","Proprietary","1112",533928
"164","AK","Proprietary","1213",676206
"165","AK","Proprietary","1314",510094
"166","AK","Public","1011",1697664
"167","AK","Public","1112",1430783
"168","AK","Public","1213",1652871
"169","AK","Public","1314",1640611
"170","AL","Private","1011",9429952
"171","AL","Private","1112",9163840
"172","AL","Private","1213",8949441
"173","AL","Private","1314",9597329
"174","AL","Proprietary","1011",3419899
"175","AL","Proprietary","1112",3155040
"176","AL","Proprietary","1213",3209599
"177","AL","Proprietary","1314",2743082
"178","AL","Public","1011",25491227
"179","AL","Public","1112",27023796
"180","AL","Public","1213",26999859
"181","AL","Public","1314",25687131
"182","AR","Private","1011",4375715
"183","AR","Private","1112",4317352
"184","AR","Private","1213",4341576
"185","AR","Private","1314",4694641
"186","AR","Proprietary","1011",6300
"187","AR","Proprietary","1112",8177
"188","AR","Proprietary","1213",8024
"189","AR","Proprietary","1314",7722
"190","AR","Public","1011",14182354
"191","AR","Public","1112",14715283
"192","AR","Public","1213",15074477
"193","AR","Public","1314",16755088
"194","AZ","Private","1011",1117914
"195","AZ","Private","1112",1357815
"196","AZ","Private","1213",1426026
"197","AZ","Private","1314",1353576
"198","AZ","Proprietary","1011",23164649
"199","AZ","Proprietary","1112",22611186
"200","AZ","Proprietary","1213",24359172
"201","AZ","Proprietary","1314",20249572
"202","AZ","Public","1011",22756249
"203","AZ","Public","1112",22476565
"204","AZ","Public","1213",24883632
"205","AZ","Public","1314",26249784
"206","CA","Private","1011",116426681
"207","CA","Private","1112",118610779
"208","CA","Private","1213",117653583
"209","CA","Private","1314",115638567
"210","CA","Proprietary","1011",33943017
"211","CA","Proprietary","1112",37230083
"212","CA","Proprietary","1213",40795707
"213","CA","Proprietary","1314",36366580
"214","CA","Public","1011",164996639
"215","CA","Public","1112",163740138
"216","CA","Public","1213",170032279
"217","CA","Public","1314",180950829
"218","CO","Private","1011",10081964
"219","CO","Private","1112",11618259
"220","CO","Private","1213",9058697
"221","CO","Private","1314",8553543
"222","CO","Proprietary","1011",8472367
"223","CO","Proprietary","1112",7891717
"224","CO","Proprietary","1213",9483304
"225","CO","Proprietary","1314",8055989
"226","CO","Public","1011",22523766
"227","CO","Public","1112",23616230
"228","CO","Public","1213",25283385
"229","CO","Public","1314",29254325
"230","CT","Private","1011",25591295
"231","CT","Private","1112",25402859
"232","CT","Private","1213",25952764
"233","CT","Private","1314",25180307
"234","CT","Proprietary","1011",2821663
"235","CT","Proprietary","1112",2559483
"236","CT","Proprietary","1213",2909633
"237","CT","Proprietary","1314",2598406
"238","CT","Public","1011",11954683
"239","CT","Public","1112",11718668
"240","CT","Public","1213",11422323
"241","CT","Public","1314",12136177
"242","DC","Private","1011",28359837
"243","DC","Private","1112",28747017
"244","DC","Private","1213",27985428
"245","DC","Private","1314",30368750
"246","DC","Proprietary","1011",4174897
"247","DC","Proprietary","1112",4143422
"248","DC","Proprietary","1213",2673621
"249","DC","Proprietary","1314",2540410
"250","DC","Public","1011",777544
"251","DC","Public","1112",713010
"252","DC","Public","1213",856492
"253","DC","Public","1314",846056
"254","DE","Private","1011",1501039
"255","DE","Private","1112",1126099
"256","DE","Private","1213",1317595
"257","DE","Private","1314",1165183
"258","DE","Proprietary","1011",70765
"259","DE","Proprietary","1112",85207
"260","DE","Proprietary","1213",73150
"261","DE","Proprietary","1314",49397
"262","DE","Public","1011",3839568
"263","DE","Public","1112",4153376
"264","DE","Public","1213",4275059
"265","DE","Public","1314",4939570
"266","FL","Private","1011",39664805
"267","FL","Private","1112",37334355
"268","FL","Private","1213",38739539
"269","FL","Private","1314",38251260
"270","FL","Proprietary","1011",16841348
"271","FL","Proprietary","1112",16383584
