"","School","Enrollment","Year"
"1","Academy Di Capelli-School of Cosmetology",81,"2010-11"
"2","Ace Cosmetology and Barber Training Center",NA,"2010-11"
"3","Albert I Prince Technical High School",66,"2010-11"
"4","Albertus Magnus College",1870,"2010-11"
"5","Asnuntuck Community College",1072,"2010-11"
"6","Belle Academy of Cosmetology",NA,"2010-11"
"7","Branford Academy of Hair and Cosmetology",48,"2010-11"
"8","Branford Hall Career Institute-Branford Campus",616,"2010-11"
"9","Branford Hall Career Institute-Southington Campus",705,"2010-11"
"10","Branford Hall Career Institute-Windsor Campus",764,"2010-11"
"11","Bridgeport Hospital School of Nursing",148,"2010-11"
"12","Bristol Technical Education Center",51,"2010-11"
"13","Bullard-Havens Technical High School",26,"2010-11"
"14","Capital Community College",2677,"2010-11"
"15","Central Connecticut State University",10340,"2010-11"
"16","Charter Oak State College",1153,"2010-11"
"17","Connecticut Center for Massage Therapy-Groton",139,"2010-11"
"18","Connecticut Center for Massage Therapy-Newington",344,"2010-11"
"19","Connecticut Center for Massage Therapy-Westport",216,"2010-11"
"20","Connecticut College",2059,"2010-11"
"21","Connecticut Institute of Hair Design",51,"2010-11"
"22","Eastern Connecticut State University",4997,"2010-11"
"23","Eli Whitney Technical High School",91,"2010-11"
"24","European Academy of Cosmetology and Hairdressing",37,"2010-11"
"25","Fairfield University",4669,"2010-11"
"26","Fox Institute of Business-West Hartford",511,"2010-11"
"27","Gateway Community College",4432,"2010-11"
"28","Goodwin College",2127,"2010-11"
"29","Hartford Seminary",116,"2010-11"
"30","Holy Apostles College and Seminary",301,"2010-11"
"31","Housatonic Community College",3857,"2010-11"
"32","Howell Cheney Technical High School",37,"2010-11"
"33","Industrial Management Training Institute",134,"2010-11"
"34","International Institute of Cosmetology",142,"2010-11"
"35","Lincoln College of New England-Southington",668,"2010-11"
"36","Lincoln Technical Institute-East Windsor",1197,"2010-11"
"37","Lincoln Technical Institute-Hartford",441,"2010-11"
"38","Lincoln Technical Institute-New Britain",888,"2010-11"
"39","Lincoln Technical Institute-Shelton",929,"2010-11"
"40","Lyme Academy College of Fine Arts",72,"2010-11"
"41","Manchester Community College",4770,"2010-11"
"42","Marinello Schools of Beauty-East Hartford",181,"2010-11"
"43","Marinello Schools of Beauty-Meriden",127,"2010-11"
"44","Marinello Schools of Beauty-Niantic",100,"2010-11"
"45","Middlesex Community College",1796,"2010-11"
"46","Mitchell College",912,"2010-11"
"47","Naugatuck Valley Community College",4511,"2010-11"
"48","New England Tractor Trailer Training School of Connecticut",461,"2010-11"
"49","New England Tractor Trailer Training School of CT-Bridgeport",NA,"2010-11"
"50","Northwestern Connecticut Community College",918,"2010-11"
"51","Norwalk Community College",4114,"2010-11"
"52","Norwich Technical High School",38,"2010-11"
"53","Oxford Academy of Hair Design Inc",62,"2010-11"
"54","Paier College of Art Inc",190,"2010-11"
"55","Paul Mitchell the School-Danbury",110,"2010-11"
"56","Paul Mitchell the School-North Haven",242,"2010-11"
"57","Platt Technical High School",23,"2010-11"
"58","Porter and Chester Institute of Branford",335,"2010-11"
"59","Porter and Chester Institute of Stratford",2719,"2010-11"
"60","Post University",3899,"2010-11"
"61","Quinebaug Valley Community College",1268,"2010-11"
"62","Quinnipiac University",8173,"2010-11"
"63","Rensselaer Hartford Graduate Center Inc",210,"2010-11"
"64","Ricci's Academy of Cosmetology",NA,"2010-11"
"65","Ridley-Lowell Business & Technical Institute-Danbury",193,"2010-11"
"66","Ridley-Lowell Business & Technical Institute-New London",464,"2010-11"
"67","Sacred Heart University",5778,"2010-11"
"68","Southern Connecticut State University",9468,"2010-11"
"69","St Vincent's College",416,"2010-11"
"70","Stone Academy-East Hartford",197,"2010-11"
"71","Stone Academy-Hamden",458,"2010-11"
"72","Stone Academy-Waterbury",330,"2010-11"
"73","Three Rivers Community College",3006,"2010-11"
"74","Trinity College",2352,"2010-11"
"75","Tunxis Community College",2863,"2010-11"
"76","University of Bridgeport",4269,"2010-11"
"77","University of Connecticut",23496,"2010-11"
"78","University of Connecticut-Avery Point",580,"2010-11"
"79","University of Connecticut-Stamford",1036,"2010-11"
"80","University of Connecticut-Tri-Campus",2104,"2010-11"
"81","University of Hartford",6081,"2010-11"
"82","University of New Haven",5543,"2010-11"
"83","University of Phoenix-Connecticut",31,"2010-11"
"84","University of Saint Joseph",1697,"2010-11"
"85","Vinal Technical High School",42,"2010-11"
"86","W F Kaynor Technical High School",31,"2010-11"
"87","Wesleyan University",3229,"2010-11"
"88","Western Connecticut State University",5594,"2010-11"
"89","Windham Memorial Hospital-Radiologic Technology Program",21,"2010-11"
"90","Windham Technical High School",18,"2010-11"
"91","Yale University",13686,"2010-11"
"92","Yale-New Haven Hospital Dietetic Internship",12,"2010-11"
"93","Academy Di Capelli-School of Cosmetology",81,"2011-12"
"94","Ace Cosmetology and Barber Training Center",NA,"2011-12"
"95","Albert I Prince Technical High School",52,"2011-12"
"96","Albertus Magnus College",2008,"2011-12"
"97","Asnuntuck Community College",1037,"2011-12"
"98","Belle Academy of Cosmetology",NA,"2011-12"
"99","Branford Academy of Hair and Cosmetology",49,"2011-12"
