"","School","Enrollment","Year","Type"
"1","Academy Di Capelli-School Of Cosmetology",81,"1011","Proprietary"
"3","Albert I Prince Technical High School",66,"1011","Public"
"4","Albertus Magnus College",1870,"1011","Private"
"5","Asnuntuck Community College",1072,"1011","Public"
"7","Branford Academy Of Hair And Cosmetology",48,"1011","Proprietary"
"8","Branford Hall Career Institute",616,"1011","Proprietary"
"9","Branford Hall Career Institute",705,"1011","Proprietary"
"10","Branford Hall Career Institute",764,"1011","Proprietary"
"11","Bridgeport Hospital School Of Nursing",148,"1011","Private"
"12","Bristol Technical Education Center",51,"1011","Public"
"13","Bullard-Havens Technical High School",26,"1011","Public"
"14","Capital Community College",2677,"1011","Public"
"15","Central Connecticut State University",10340,"1011","Public"
"16","Charter Oak State College",1153,"1011","Public"
"17","Connecticut Center For Massage Therapy",139,"1011","Proprietary"
"18","Connecticut Center For Massage Therapy",344,"1011","Proprietary"
"19","Connecticut Center For Massage Therapy",216,"1011","Proprietary"
"20","Connecticut College",2059,"1011","Private"
"21","Connecticut Institute Of Hair Design",51,"1011","Proprietary"
"22","Eastern Connecticut State University",4997,"1011","Public"
"23","Eli Whitney Technical High School",91,"1011","Public"
"24","European Academy Of Cosmetology And Hairdressing",37,"1011","Proprietary"
"25","Fairfield University",4669,"1011","Private"
"26","Fox Institute Of Business-West Hartford",511,"1011","Proprietary"
"27","Gateway Community College",4432,"1011","Public"
"28","Goodwin College",2127,"1011","Private"
"29","Hartford Seminary",116,"1011","Private"
"30","Holy Apostles College And Seminary",301,"1011","Private"
"31","Housatonic Community College",3857,"1011","Public"
"32","Howell Cheney Technical High School",37,"1011","Public"
"33","Industrial Management Training Institute",134,"1011","Proprietary"
"34","International Institute Of Cosmetology",142,"1011","Proprietary"
"35","Lincoln College Of New England-Southington",668,"1011","Proprietary"
"36","Lincoln Technical Institute",1197,"1011","Proprietary"
"37","Lincoln Technical Institute",441,"1011","Proprietary"
"38","Lincoln Technical Institute",888,"1011","Proprietary"
"39","Lincoln Technical Institute",929,"1011","Proprietary"
"40","Lyme Academy College Of Fine Arts",72,"1011","Private"
"41","Manchester Community College",4770,"1011","Public"
"42","Marinello Schools Of Beauty",181,"1011","Proprietary"
"43","Marinello Schools Of Beauty",127,"1011","Proprietary"
"44","Marinello Schools Of Beauty",100,"1011","Proprietary"
"45","Middlesex Community College",1796,"1011","Public"
"46","Mitchell College",912,"1011","Private"
"47","Naugatuck Valley Community College",4511,"1011","Public"
"48","New England Tractor Trailer Training School Of Connecticut",461,"1011","Proprietary"
"50","Northwestern Connecticut Community College",918,"1011","Public"
"51","Norwalk Community College",4114,"1011","Public"
"52","Norwich Technical High School",38,"1011","Public"
"53","Oxford Academy Of Hair Design Inc",62,"1011","Proprietary"
"54","Paier College Of Art Inc",190,"1011","Proprietary"
"55","Paul Mitchell The School",110,"1011","Proprietary"
"56","Paul Mitchell The School",242,"1011","Proprietary"
"57","Platt Technical High School",23,"1011","Public"
"58","Porter And Chester Institute",335,"1011","Proprietary"
"59","Porter And Chester Institute",2719,"1011","Proprietary"
"60","Post University",3899,"1011","Proprietary"
"61","Quinebaug Valley Community College",1268,"1011","Public"
"62","Quinnipiac University",8173,"1011","Private"
"63","Rensselaer Hartford Graduate Center Inc",210,"1011","Private"
"65","Ridley-Lowell Business & Technical Institute",193,"1011","Proprietary"
"66","Ridley-Lowell Business & Technical Institute",464,"1011","Proprietary"
"67","Sacred Heart University",5778,"1011","Private"
"68","Southern Connecticut State University",9468,"1011","Public"
"69","St Vincent's College",416,"1011","Private"
"70","Stone Academy",197,"1011","Proprietary"
"71","Stone Academy",458,"1011","Proprietary"
"72","Stone Academy",330,"1011","Proprietary"
"73","Three Rivers Community College",3006,"1011","Public"
"74","Trinity College",2352,"1011","Private"
"75","Tunxis Community College",2863,"1011","Public"
"76","University Of Bridgeport",4269,"1011","Private"
"77","University Of Connecticut",23496,"1011","Public"
"78","University Of Connecticut",580,"1011","Public"
"79","University Of Connecticut",1036,"1011","Public"
"80","University Of Connecticut",2104,"1011","Public"
"81","University Of Hartford",6081,"1011","Private"
"82","University Of New Haven",5543,"1011","Private"
"83","University Of Phoenix-Connecticut",31,"1011","Proprietary"
"84","University Of Saint Joseph",1697,"1011","Private"
"85","Vinal Technical High School",42,"1011","Public"
"86","W F Kaynor Technical High School",31,"1011","Public"
"87","Wesleyan University",3229,"1011","Private"
"88","Western Connecticut State University",5594,"1011","Public"
"89","Windham Memorial Hospital-Radiologic Technology Program",21,"1011","Private"
"90","Windham Technical High School",18,"1011","Public"
"91","Yale University",13686,"1011","Private"
"92","Yale-New Haven Hospital Dietetic Internship",12,"1011","Private"
"93","Academy Di Capelli-School Of Cosmetology",81,"1112","Proprietary"
"95","Albert I Prince Technical High School",52,"1112","Public"
"96","Albertus Magnus College",2008,"1112","Private"
"97","Asnuntuck Community College",1037,"1112","Public"
"99","Branford Academy Of Hair And Cosmetology",49,"1112","Proprietary"
"100","Branford Hall Career Institute",566,"1112","Proprietary"
"101","Branford Hall Career Institute",563,"1112","Proprietary"
"102","Branford Hall Career Institute",560,"1112","Proprietary"
"103","Bridgeport Hospital School Of Nursing",152,"1112","Private"
"104","Bristol Technical Education Center",47,"1112","Public"
"105","Bullard-Havens Technical High School",27,"1112","Public"
"106","Capital Community College",2715,"1112","Public"
"107","Central Connecticut State University",10226,"1112","Public"
"108","Charter Oak State College",882,"1112","Public"
"109","Connecticut Center For Massage Therapy",84,"1112","Proprietary"
"110","Connecticut Center For Massage Therapy",279,"1112","Proprietary"
"111","Connecticut Center For Massage Therapy",293,"1112","Proprietary"
"112","Connecticut College",2079,"1112","Private"
"113","Connecticut Institute Of Hair Design",52,"1112","Proprietary"
"114","Eastern Connecticut State University",5105,"1112","Public"
"115","Eli Whitney Technical High School",91,"1112","Public"
"116","European Academy Of Cosmetology And Hairdressing",70,"1112","Proprietary"
"117","Fairfield University",4670,"1112","Private"
"118","Fox Institute Of Business-West Hartford",338,"1112","Proprietary"
"119","Gateway Community College",4452,"1112","Public"
"120","Goodwin College",2245,"1112","Private"
"121","Hartford Seminary",101,"1112","Private"
"122","Holy Apostles College And Seminary",384,"1112","Private"
"123","Housatonic Community College",3750,"1112","Public"
"124","Howell Cheney Technical High School",53,"1112","Public"
"125","Industrial Management Training Institute",181,"1112","Proprietary"
"126","International Institute Of Cosmetology",153,"1112","Proprietary"
"127","Lincoln College Of New England-Southington",971,"1112","Proprietary"
"128","Lincoln Technical Institute",905,"1112","Proprietary"
"129","Lincoln Technical Institute",402,"1112","Proprietary"
"130","Lincoln Technical Institute",649,"1112","Proprietary"
"131","Lincoln Technical Institute",657,"1112","Proprietary"
"132","Lyme Academy College Of Fine Arts",65,"1112","Private"
"133","Manchester Community College",4607,"1112","Public"
"134","Marinello Schools Of Beauty",201,"1112","Proprietary"
"135","Marinello Schools Of Beauty",567,"1112","Proprietary"
"136","Marinello Schools Of Beauty",360,"1112","Proprietary"
"137","Middlesex Community College",1778,"1112","Public"
"138","Mitchell College",857,"1112","Private"
"139","Naugatuck Valley Community College",4506,"1112","Public"
"140","New England Tractor Trailer Training School Of Connecticut",546,"1112","Proprietary"
"142","Northwestern Connecticut Community College",872,"1112","Public"
"143","Norwalk Community College",4069,"1112","Public"
"144","Norwich Technical High School",41,"1112","Public"
"145","Oxford Academy Of Hair Design Inc",106,"1112","Proprietary"
"146","Paier College Of Art Inc",186,"1112","Proprietary"
"147","Paul Mitchell The School",127,"1112","Proprietary"
"148","Paul Mitchell The School",227,"1112","Proprietary"
"149","Platt Technical High School",14,"1112","Public"
"150","Porter And Chester Institute",337,"1112","Proprietary"
"151","Porter And Chester Institute",2822,"1112","Proprietary"
"152","Post University",6586,"1112","Proprietary"
"153","Quinebaug Valley Community College",1182,"1112","Public"
"154","Quinnipiac University",8249,"1112","Private"
"155","Rensselaer Hartford Graduate Center Inc",222,"1112","Private"
"157","Ridley-Lowell Business & Technical Institute",320,"1112","Proprietary"
"158","Ridley-Lowell Business & Technical Institute",594,"1112","Proprietary"
"159","Sacred Heart University",5865,"1112","Private"
"160","Southern Connecticut State University",9285,"1112","Public"
"161","St Vincent's College",491,"1112","Private"
"162","Stone Academy",264,"1112","Proprietary"
"163","Stone Academy",569,"1112","Proprietary"
"164","Stone Academy",295,"1112","Proprietary"
"165","Three Rivers Community College",3009,"1112","Public"
"166","Trinity College",2373,"1112","Private"
"167","Tunxis Community College",2843,"1112","Public"
"168","University Of Bridgeport",3857,"1112","Private"
"169","University Of Connecticut",23907,"1112","Public"
"170","University Of Connecticut",650,"1112","Public"
"171","University Of Connecticut",1048,"1112","Public"
"172","University Of Connecticut",2166,"1112","Public"
"173","University Of Hartford",6318,"1112","Private"
"174","University Of New Haven",5669,"1112","Private"
"175","University Of Phoenix-Connecticut",32,"1112","Proprietary"
"176","University Of Saint Joseph",1930,"1112","Private"
"177","Vinal Technical High School",40,"1112","Public"
"178","W F Kaynor Technical High School",53,"1112","Public"
"179","Wesleyan University",3281,"1112","Private"
"180","Western Connecticut State University",5671,"1112","Public"
"181","Windham Memorial Hospital-Radiologic Technology Program",20,"1112","Private"
"182","Windham Technical High School",18,"1112","Public"
"183","Yale University",13697,"1112","Private"
"184","Yale-New Haven Hospital Dietetic Internship",12,"1112","Private"
"185","Academy Di Capelli-School Of Cosmetology",77,"1213","Proprietary"
"186","Ace Cosmetology And Barber Training Center",9,"1213","Proprietary"
"187","Albert I Prince Technical High School",63,"1213","Public"
"188","Albertus Magnus College",1813,"1213","Private"
"189","Asnuntuck Community College",1048,"1213","Public"
"190","Belle Academy Of Cosmetology",2,"1213","Proprietary"
"191","Branford Academy Of Hair And Cosmetology",92,"1213","Proprietary"
"192","Branford Hall Career Institute",901,"1213","Proprietary"
"193","Branford Hall Career Institute",949,"1213","Proprietary"
"194","Branford Hall Career Institute",714,"1213","Proprietary"
"195","Bridgeport Hospital School Of Nursing",141,"1213","Private"
"196","Bristol Technical Education Center",51,"1213","Public"
"197","Bullard-Havens Technical High School",14,"1213","Public"
"198","Capital Community College",2609,"1213","Public"
"199","Central Connecticut State University",9989,"1213","Public"
"200","Charter Oak State College",917,"1213","Public"
"201","Connecticut Center For Massage Therapy",86,"1213","Proprietary"
"202","Connecticut Center For Massage Therapy",241,"1213","Proprietary"
"203","Connecticut Center For Massage Therapy",257,"1213","Proprietary"
"204","Connecticut College",2068,"1213","Private"
"205","Connecticut Institute Of Hair Design",47,"1213","Proprietary"
"206","Eastern Connecticut State University",4985,"1213","Public"
"207","Eli Whitney Technical High School",53,"1213","Public"
"208","European Academy Of Cosmetology And Hairdressing",36,"1213","Proprietary"
"209","Fairfield University",4694,"1213","Private"
"210","Fox Institute Of Business-West Hartford",307,"1213","Proprietary"
"211","Gateway Community College",4672,"1213","Public"
"212","Goodwin College",3017,"1213","Private"
"213","Hartford Seminary",73,"1213","Private"
"214","Holy Apostles College And Seminary",333,"1213","Private"
"215","Housatonic Community College",3677,"1213","Public"
"216","Howell Cheney Technical High School",66,"1213","Public"
"217","Industrial Management Training Institute",125,"1213","Proprietary"
"218","International Institute Of Cosmetology",132,"1213","Proprietary"
"219","Lincoln College Of New England-Southington",815,"1213","Proprietary"
"220","Lincoln Technical Institute",893,"1213","Proprietary"
"221","Lincoln Technical Institute",436,"1213","Proprietary"
"222","Lincoln Technical Institute",534,"1213","Proprietary"
"223","Lincoln Technical Institute",617,"1213","Proprietary"
"224","Lyme Academy College Of Fine Arts",64,"1213","Private"
"225","Manchester Community College",4667,"1213","Public"
"226","Marinello Schools Of Beauty",177,"1213","Proprietary"
"227","Marinello Schools Of Beauty",616,"1213","Proprietary"
"228","Marinello Schools Of Beauty",344,"1213","Proprietary"
"229","Middlesex Community College",1813,"1213","Public"
"230","Mitchell College",813,"1213","Private"
"231","Naugatuck Valley Community College",4491,"1213","Public"
"232","New England Tractor Trailer Training School Of Connecticut",337,"1213","Proprietary"
"233","New England Tractor Trailer Training School Of Connecticut",365,"1213","Proprietary"
"234","Northwestern Connecticut Community College",837,"1213","Public"
"235","Norwalk Community College",4085,"1213","Public"
"236","Norwich Technical High School",50,"1213","Public"
"237","Oxford Academy Of Hair Design Inc",119,"1213","Proprietary"
"238","Paier College Of Art Inc",159,"1213","Proprietary"
"239","Paul Mitchell The School",135,"1213","Proprietary"
"240","Paul Mitchell The School",166,"1213","Proprietary"
"241","Platt Technical High School",18,"1213","Public"
