"","X","School","State","School.Type","Total.Disbursements","Year"
"1",1,"ALASKA PACIFIC UNIVERSITY","AK","Private-Nonprofit",654319,1011
"2",2,"UNIVERSITY OF ALASKA FAIRBANKS","AK","Public",7426651,1011
"3",3,"UNIVERSITY OF ALASKA SOUTHEAST","AK","Public",1917667,1011
"4",4,"ALASKA BIBLE COLLEGE","AK","Private-Nonprofit",45095,1011
"5",5,"UNIVERSITY OF ALASKA ANCHORAGE","AK","Public",16041501.4,1011
"6",6,"ALASKA CAREER COLLEGE","AK","Proprietary",1850704.59,1011
"7",7,"CHARTER COLLEGE","AK","Proprietary",13167487,1011
"8",8,"AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY","AK","Public",430538,1011
"9",9,"ILISAGVIK COLLEGE","AK","Public",133582,1011
"10",10,"ALASKA CHRISTIAN COLLEGE","AK","Private-Nonprofit",178277.75,1011
"11",11,"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","Public",17050099.76,1011
"12",12,"FAULKNER UNIVERSITY","AL","Private-Nonprofit",9255871,1011
"13",13,"UNIVERSITY OF MONTEVALLO","AL","Public",4978819,1011
"14",14,"ALABAMA STATE UNIVERSITY","AL","Public",20258404,1011
"15",15,"CENTRAL ALABAMA COMMUNITY COLLEGE","AL","Public",7872946.76,1011
"16",16,"ATHENS STATE UNIVERSITY","AL","Public",6939567,1011
"17",17,"AUBURN UNIVERSITY","AL","Public",17862979,1011
"18",18,"BIRMINGHAM SOUTHERN COLLEGE","AL","Private-Nonprofit",1664445.5,1011
"19",19,"CALHOUN COMMUNITY COLLEGE","AL","Public",22143889.1,1011
"20",20,"ENTERPRISE STATE COMMUNITY COLLEGE","AL","Public",7895839.89,1011
"21",21,"UNIVERSITY OF NORTH ALABAMA","AL","Public",10530788,1011
"22",22,"GADSDEN STATE COMMUNITY COLLEGE","AL","Public",22133849.73,1011
"23",23,"GEORGE C. WALLACE COMMUNITY COLLEGE","AL","Public",14556020.16,1011
"24",24,"HUNTINGDON COLLEGE","AL","Private-Nonprofit",2135108,1011
"25",25,"JACKSONVILLE STATE UNIVERSITY","AL","Public",18025272,1011
"26",26,"JEFFERSON DAVIS COMMUNITY COLLEGE","AL","Public",3674567.48,1011
