"","School","State","School.Type","Total.Disbursements","Year"
"1","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","Public",14336634.85,"1112"
"2","FAULKNER UNIVERSITY","AL","Private-Nonprofit",8076857,"1112"
"3","UNIVERSITY OF MONTEVALLO","AL","Public",4576828,"1112"
"4","ALABAMA STATE UNIVERSITY","AL","Public",18217175,"1112"
"5","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","Public",7084171.99,"1112"
"6","ATHENS STATE UNIVERSITY","AL","Public",6089733,"1112"
"7","AUBURN UNIVERSITY","AL","Public",14874554,"1112"
"8","BIRMINGHAM SOUTHERN COLLEGE","AL","Private-Nonprofit",1154376.55,"1112"
"9","CALHOUN COMMUNITY COLLEGE","AL","Public",21613640.47,"1112"
"10","ENTERPRISE STATE COMMUNITY COLLEGE","AL","Public",6671926.72,"1112"
"11","UNIVERSITY OF NORTH ALABAMA","AL","Public",9841908,"1112"
"12","GADSDEN STATE COMMUNITY COLLEGE","AL","Public",18585973.8,"1112"
"13","GEORGE C. WALLACE COMMUNITY COLLEGE","AL","Public",12651725.45,"1112"
"14","HUNTINGDON COLLEGE","AL","Private-Nonprofit",2077976,"1112"
"15","JACKSONVILLE STATE UNIVERSITY","AL","Public",16696688,"1112"
"16","JEFFERSON DAVIS COMMUNITY COLLEGE","AL","Public",2982390.12,"1112"
"17","JEFFERSON STATE COMMUNITY COLLEGE","AL","Public",13999850,"1112"
"18","JUDSON COLLEGE","AL","Private-Nonprofit",741573.34,"1112"
"19","UNIVERSITY OF WEST ALABAMA","AL","Public",5720534.41,"1112"
"20","MARION MILITARY INSTITUTE","AL","Public",804899.39,"1112"
"21","MILES COLLEGE","AL","Private-Nonprofit",6917011.73,"1112"
"22","UNIVERSITY OF MOBILE","AL","Private-Nonprofit",3161083,"1112"
"23","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","Public",11904638.45,"1112"
"24","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","Public",9365639.3,"1112"
"25","OAKWOOD UNIVERSITY","AL","Private-Nonprofit",4393689,"1112"
"26","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","Public",4351741.78,"1112"
"27","SAMFORD UNIVERSITY","AL","Private-Nonprofit",1812543.25,"1112"
"28","SNEAD STATE COMMUNITY COLLEGE","AL","Public",6123941.46,"1112"
"29","SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","Public",10738643.31,"1112"
"30","SPRING HILL COLLEGE","AL","Private-Nonprofit",2104175,"1112"
"31","STILLMAN COLLEGE","AL","Private-Nonprofit",3809698,"1112"
"32","TALLADEGA COLLEGE","AL","Private-Nonprofit",2382934,"1112"
"33","TROY UNIVERSITY","AL","Public",40450010,"1112"
"34","TUSKEGEE UNIVERSITY","AL","Private-Nonprofit",7691342.72,"1112"
"35","UNIVERSITY OF ALABAMA","AL","Public",24948027,"1112"
"36","UNIVERSITY OF ALABAMA AT BIRMINGHAM","AL","Public",17586027,"1112"
"37","UNIVERSITY OF ALABAMA IN HUNTSVILLE","AL","Public",8155048,"1112"
"38","UNIVERSITY OF SOUTH ALABAMA","AL","Public",17891013,"1112"
"39","LAWSON STATE COMMUNITY COLLEGE","AL","Public",13552741.73,"1112"
"40","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","AL","Public",11067060.34,"1112"
"41","ALASKA PACIFIC UNIVERSITY","AK","Private-Nonprofit",516030.5,"1112"
"42","UNIVERSITY OF ALASKA FAIRBANKS","AK","Public",7336934,"1112"
"43","UNIVERSITY OF ALASKA SOUTHEAST","AK","Public",1911698.47,"1112"
"44","ARIZONA WESTERN COLLEGE","AZ","Public",18670888.32,"1112"
"45","COCHISE COLLEGE","AZ","Public",6464223.65,"1112"
"46","EASTERN ARIZONA COLLEGE","AZ","Public",6264133,"1112"
