"","State","School.Type","1011","1112","1213","1314","1415","1516"
"1","AK","Private",0.021,0.0187,0.0173,0.0276,0.028,0.0328
"2","AK","Proprietary",0.3589,0.3496,0.3397,0.0593,0.0604,0.0508
"3","AK","Public",0.6201,0.6317,0.643,0.9131,0.9116,0.9164
"4","AL","Private",0.1103,0.0874,0.0896,0.0899,0.0937,0.1001
"5","AL","Proprietary",0.1762,0.189,0.2108,0.2166,0.2154,0.1845
"6","AL","Public",0.7135,0.7236,0.6996,0.6935,0.6908,0.7154
"7","AR","Private",0.0809,0.0808,0.0826,0.0892,0.0927,0.0955
"8","AR","Proprietary",0.0299,0.0296,0.0301,0.0337,0.0342,0.028
"9","AR","Public",0.8891,0.8896,0.8873,0.8772,0.873,0.8765
"10","AZ","Private",0.0016,0.0016,0.0018,0.0017,0.002,0.0026
"11","AZ","Proprietary",0.7736,0.7215,0.7149,0.6991,0.6704,0.5744
"12","AZ","Public",0.2248,0.2769,0.2833,0.2992,0.3276,0.423
"13","CA","Private",0.062,0.0597,0.0637,0.0647,0.0645,0.0689
"14","CA","Proprietary",0.239,0.2655,0.2402,0.2159,0.1927,0.1513
"15","CA","Public",0.6989,0.6747,0.696,0.7194,0.7428,0.7798
"16","CO","Private",0.0336,0.0378,0.0417,0.0612,0.0582,0.0568
"17","CO","Proprietary",0.4031,0.3363,0.3151,0.2962,0.3028,0.2644
"18","CO","Public",0.5633,0.6259,0.6432,0.6426,0.639,0.6789
"19","CT","Private",0.1844,0.1791,0.1774,0.178,0.1843,0.1989
"20","CT","Proprietary",0.3155,0.2967,0.2948,0.2939,0.2813,0.2253
"21","CT","Public",0.5001,0.5242,0.5277,0.5281,0.5344,0.5758
"22","DC","Private",0.2432,0.2795,0.2709,0.3119,0.3084,0.3415
"23","DC","Proprietary",0.6963,0.655,0.6608,0.613,0.6221,0.5918
"24","DC","Public",0.0605,0.0655,0.0683,0.0751,0.0695,0.0668
"25","DE","Private",0.2681,0.264,0.2725,0.279,0.2784,0.281
