"","School","State","School.Type","Total.Disbursements","Year"
"1","ALASKA PACIFIC UNIVERSITY","AK","PRIVATE",5195377,"2010_2011"
"2","UNIVERSITY OF ALASKA FAIRBANKS","AK","PUBLIC",20756756,"2010_2011"
"3","UNIVERSITY OF ALASKA SOUTHEAST","AK","PUBLIC",7848190,"2010_2011"
"4","ALASKA BIBLE COLLEGE","AK","PRIVATE",15133,"2010_2011"
"5","UNIVERSITY OF ALASKA ANCHORAGE","AK","PUBLIC",47921798,"2010_2011"
"6","ALASKA CAREER COLLEGE","AK","PROPRIETARY",3177894,"2010_2011"
"7","CHARTER COLLEGE","AK","PROPRIETARY",30449733,"2010_2011"
"8","AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY","AK","PUBLIC",419960,"2010_2011"
"9","ALASKA CHRISTIAN COLLEGE","AK","PRIVATE",22040,"2010_2011"
"10","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","PUBLIC",44354475,"2010_2011"
"11","FAULKNER UNIVERSITY","AL","PRIVATE",37087041,"2010_2011"
"12","UNIVERSITY OF MONTEVALLO","AL","PUBLIC",15680127,"2010_2011"
"13","ALABAMA STATE UNIVERSITY","AL","PUBLIC",48485693,"2010_2011"
"14","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","PUBLIC",5915877,"2010_2011"
"15","ATHENS STATE UNIVERSITY","AL","PUBLIC",13543022,"2010_2011"
"16","AUBURN UNIVERSITY","AL","PUBLIC",115782498,"2010_2011"
"17","BIRMINGHAM SOUTHERN COLLEGE","AL","PRIVATE",7156036,"2010_2011"
"18","CALHOUN COMMUNITY COLLEGE","AL","PUBLIC",10183886,"2010_2011"
"19","ENTERPRISE STATE COMMUNITY COLLEGE","AL","PUBLIC",2791297,"2010_2011"
"20","UNIVERSITY OF NORTH ALABAMA","AL","PUBLIC",24567597,"2010_2011"
"21","HUNTINGDON COLLEGE","AL","PRIVATE",7389455,"2010_2011"
"22","JACKSONVILLE STATE UNIVERSITY","AL","PUBLIC",52084490,"2010_2011"
"23","JEFFERSON STATE COMMUNITY COLLEGE","AL","PUBLIC",8274842,"2010_2011"
"24","JUDSON COLLEGE","AL","PRIVATE",1755660,"2010_2011"
"25","UNIVERSITY OF WEST ALABAMA","AL","PUBLIC",56470825,"2010_2011"
"26","MARION MILITARY INSTITUTE","AL","PUBLIC",1074546,"2010_2011"
"27","MILES COLLEGE","AL","PRIVATE",13586938,"2010_2011"
"28","UNIVERSITY OF MOBILE","AL","PRIVATE",14076758,"2010_2011"
"29","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","PUBLIC",1362510,"2010_2011"
"30","OAKWOOD UNIVERSITY","AL","PRIVATE",14510627,"2010_2011"
"31","SAMFORD UNIVERSITY","AL","PRIVATE",57629533,"2010_2011"
"32","SOUTHERN UNION STATE COMMUNITY COLLEGE","AL","PUBLIC",4703454,"2010_2011"
