"","State","Year","Private","Proprietary","Public"
"1","AK",1011,3.914,30.6447,65.4413
"2","AK",1112,3.6536,30.3868,65.9595
"3","AK",1213,3.522,28.0576,68.4204
"4","AK",1314,4.7292,4.7775,90.4933
"5","AK",1415,4.4134,4.4395,91.1471
"6","AK",1516,4.638,2.821,92.541
"7","AL",1011,15.276,16.6689,68.0551
"8","AL",1112,15.0004,16.9769,68.0227
"9","AL",1213,14.5751,18.2003,67.2246
"10","AL",1314,13.7247,18.4359,67.8394
"11","AL",1415,14.2941,17.9578,67.7481
"12","AL",1516,16.0887,12.3241,71.5873
"13","AR",1011,12.8645,2.1888,84.9467
"14","AR",1112,13.0408,2.264,84.6952
"15","AR",1213,13.3766,2.2746,84.3488
"16","AR",1314,14.2258,2.4827,83.2915
"17","AR",1415,14.6354,2.4905,82.8741
"18","AR",1516,14.6036,1.7793,83.6171
"19","AZ",1011,0.6407,80.3699,18.9894
"20","AZ",1112,0.6892,76.7744,22.5364
"21","AZ",1213,0.7248,75.7208,23.5544
"22","AZ",1314,0.7267,74.0317,25.2416
"23","AZ",1415,0.6664,70.8923,28.4412
"24","AZ",1516,0.7477,55.1036,44.1487
"25","CA",1011,27.194,32.1437,40.6623
"26","CA",1112,28.0206,30.006,41.9733
"27","CA",1213,29.408,27.5977,42.9943
"28","CA",1314,30.0626,25.5558,44.3816
"29","CA",1415,30.6274,22.9377,46.4349
"30","CA",1516,31.2497,16.0803,52.67
"31","CO",1011,11.6244,36.7197,51.6559
"32","CO",1112,12.1575,31.999,55.8435
"33","CO",1213,12.4707,30.1083,57.4209
"34","CO",1314,13.7026,28.514,57.7834
"35","CO",1415,13.838,27.3943,58.7677
"36","CO",1516,13.0648,20.486,66.4493
"37","CT",1011,40.019,21.8772,38.1038
"38","CT",1112,40.7371,20.9639,38.299
"39","CT",1213,40.8627,21.1483,37.9889
"40","CT",1314,41.5809,20.9499,37.4692
"41","CT",1415,42.6244,19.4278,37.9478
"42","CT",1516,43.9961,12.7134,43.2905
"43","DC",1011,53.9905,44.2054,1.8041
"44","DC",1112,62.5107,35.1763,2.313
"45","DC",1213,57.321,40.3304,2.3485
"46","DC",1314,60.6015,36.9074,2.4911
"47","DC",1415,61.0347,36.6743,2.291
"48","DC",1516,70.4802,27.1279,2.3919
"49","DE",1011,35.5305,5.6666,58.8029
"50","DE",1112,34.4539,5.5304,60.0158
"51","DE",1213,36.2407,4.5258,59.2335
"52","DE",1314,36.4462,4.2352,59.3186
"53","DE",1415,36.4993,3.7437,59.7569
"54","DE",1516,32.76,2.2442,64.9958
"55","FL",1011,27.8637,27.4397,44.6966
"56","FL",1112,27.7389,26.2034,46.0576
"57","FL",1213,27.904,24.9176,47.1784
"58","FL",1314,37.6192,14.4345,47.9464
"59","FL",1415,36.6924,13.8878,49.4199
"60","FL",1516,35.0552,10.9662,53.9785
"61","GA",1011,22.744,20.6119,56.644
"62","GA",1112,22.6194,16.1269,61.2538
"63","GA",1213,22.8224,15.0104,62.1672
"64","GA",1314,23.046,15.0028,61.9513
"65","GA",1415,23.5723,14.2813,62.1465
"66","GA",1516,24.1832,9.4333,66.3835
"67","HI",1011,25.8441,1.8622,72.2937
"68","HI",1112,24.6849,2.447,72.868
"69","HI",1213,22.5363,2.427,75.0367
"70","HI",1314,21.358,2.677,75.965
"71","HI",1415,19.6849,2.6678,77.6473
"72","HI",1516,19.5939,1.832,78.5742
"73","IA",1011,20.8889,46.1813,32.9299
"74","IA",1112,25.3224,33.9608,40.7168
"75","IA",1213,26.2276,35.8489,37.9234
"76","IA",1314,25.2579,38.061,36.6811
"77","IA",1415,26.9256,36.4804,36.594
"78","IA",1516,30.6596,25.7794,43.561
"79","ID",1011,19.5426,6.2955,74.1619
"80","ID",1112,19.3395,4.6422,76.0183
"81","ID",1213,20.1519,5.3496,74.4986
"82","ID",1314,22.5785,5.5596,71.8619
"83","ID",1415,25.4279,5.5434,69.0286
"84","ID",1516,24.3138,3.9565,71.7297
"85","IL",1011,35.0619,36.7228,28.2153
"86","IL",1112,36.5215,33.0336,30.4449
"87","IL",1213,38.5607,29.0092,32.4301
"88","IL",1314,40.2483,26.8584,32.8933
"89","IL",1415,41.6265,25.1253,33.2482
"90","IL",1516,41.6873,19.3947,38.918
"91","IN",1011,17.4782,32.4315,50.0903
"92","IN",1112,18.8341,30.2863,50.8796
"93","IN",1213,20.0581,28.9056,51.0363
"94","IN",1314,21.5656,30.5368,47.8976
"95","IN",1415,23.4709,28.7634,47.7657
"96","IN",1516,25.7703,19.3693,54.8604
"97","KS",1011,23.1138,5.1787,71.7075
"98","KS",1112,23.4446,4.5346,72.0208
"99","KS",1213,22.3456,8.817,68.8374
"100","KS",1314,20.8441,12.2149,66.9409
"101","KS",1415,20.7404,11.181,68.0786
"102","KS",1516,19.1673,7.7513,73.0815
"103","KY",1011,17.4566,14.1836,68.3597
"104","KY",1112,18.263,11.8975,69.8395
"105","KY",1213,18.5067,11.1988,70.2945
"106","KY",1314,18.5809,10.581,70.8381
"107","KY",1415,19.3086,9.8564,70.835
"108","KY",1516,18.5779,5.9044,75.5177
"109","LA",1011,19.6849,10.8619,69.4532
"110","LA",1112,19.2914,10.0779,70.6307
"111","LA",1213,19.5376,9.7204,70.742
"112","LA",1314,19.4575,9.3581,71.1844
"113","LA",1415,18.3462,9.5224,72.1314
"114","LA",1516,17.9892,6.943,75.0678
"115","MA",1011,68.6161,4.5699,26.814
"116","MA",1112,68.0706,4.0787,27.8507
"117","MA",1213,67.3376,3.4003,29.2621
"118","MA",1314,67.1871,3.1846,29.6283
"119","MA",1415,67.6889,2.748,29.5632
