State,School.Type,Year,Sum.Type.loan,Sum.Type.grant,Sum.Type.campus,Total.Disbursement
AK,Private,1011,5232550,877691.75,145451,6255692.75
AK,Proprietary,1011,33627627,15018191.59,333323,48979141.59
AK,Public,1011,76946704,25949939.4,1697664,104594307.4
AL,Private,1011,264647605,75580659.31,9429952,349658216.3
AL,Proprietary,1011,257351346,120770333.5,3419899,381541578.5
AL,Public,1011,1043301102,488949099.5,25491227,1557741429
AR,Private,1011,102162846,28328894.43,4375715,134867455.4
AR,Proprietary,1011,12466004,10474885.08,6300,22947189.08
AR,Public,1011,565132115,311242270,14182354,890556739
AZ,Private,1011,48127669,3656709.67,1117914,52902292.67
AZ,Proprietary,1011,4885580476,1727544967,23164649,6636290092
AZ,Public,1011,1043260795,501971639,22756249,1567988683
CA,Private,1011,3564936282,247773001.3,116426681,3929135964
CA,Proprietary,1011,3655708795,954641377.6,33943017,4644293190
CA,Public,1011,2918985000,2791128003,164996639,5875109642
CO,Private,1011,291750471,19820545.36,10081964,321652980.4
CO,Proprietary,1011,769477092,238107454.6,8472367,1016056914
CO,Public,1011,1074111264,332714956.5,22523766,1429349986
CT,Private,1011,455370654,50466123.24,25591295,531428072.2
CT,Proprietary,1011,201336620,86356948.64,2821663,290515231.6
CT,Public,1011,357145095,136895612.2,11954683,505995390.2
DC,Private,1011,914552220,40744565.4,28359837,983656622.4
DC,Proprietary,1011,684547866,116657807,4174897,805380570
DC,Public,1011,21962975,10127580,777544,32868099
DE,Private,1011,90141158,16985379.74,1501039,108627576.7
DE,Proprietary,1011,10382296,6871355.82,70765,17324416.82
DE,Public,1011,136429985,39508858.17,3839568,179778411.2
FL,Private,1011,1896961726,294329683.9,39664805,2230956215
FL,Proprietary,1011,1569245784,610922967,16841348,2197010099
FL,Public,1011,2053343904,1477141361,48231933,3578717198
GA,Private,1011,791427868,108016745.5,20555818,920000431.5
GA,Proprietary,1011,590041992,235027184.1,8687343,833756519.1
GA,Public,1011,1420052924,844443391.4,26765300,2291261615
HI,Private,1011,57572946,14688615.31,1596711,73858272.31
HI,Proprietary,1011,2931969,2361146.45,28628,5321743.45
HI,Public,1011,138012372,62637416.93,5953535,206603323.9
IA,Private,1011,526782158,78442078.26,24947346,630171582.3
IA,Proprietary,1011,810702264,572758670.6,9727981,1393188916
IA,Public,1011,737605208,237938229.6,17879211,993422648.6
ID,Private,1011,61911467,57671341.81,1150927,120733735.8
ID,Proprietary,1011,24865052,13874947.98,153617,38893616.98
ID,Public,1011,316633868,133886182.5,7650847,458170897.5
IL,Private,1011,2357355801,230856928,85822112,2674034841
IL,Proprietary,1011,2211524332,549072976.5,40107356,2800704664
IL,Public,1011,1378188639,729744610.8,43933655,2151866905
IN,Private,1011,605824695,108199190.8,32996728,747020613.8
IN,Proprietary,1011,883209940,492120969.9,10798658,1386129568
IN,Public,1011,1581027882,523908035.4,35930747,2140866664
KS,Private,1011,227188203,46893580.17,9365150,283446933.2
KS,Proprietary,1011,40789948,22422741.64,294772,63507461.64
KS,Public,1011,644203146,216029691.6,19125590,879358427.6
KY,Private,1011,242379382,62486545.7,23731205,328597132.7
KY,Proprietary,1011,186450185,78745553.37,1791214,266986952.4
KY,Public,1011,890493134,370714278.7,25569978,1286777391
LA,Private,1011,260494149,32755715.16,15407464,308657328.2
LA,Proprietary,1011,104949693,63518717.08,1845855,170314265.1
LA,Public,1011,700048869,369642095.2,19329711,1089020675
MA,Private,1011,2109502560,175706730.1,129844547,2415053837
MA,Proprietary,1011,114582978,44529978.32,1731831,160844787.3
MA,Public,1011,629384719,287152927.1,27225474,943763120.1
MD,Private,1011,341605109,36616268.55,14940137,393161514.6
MD,Proprietary,1011,120205159,66742907.8,2122141,189070207.8
MD,Public,1011,1057673428,335760778.9,27845396,1421279603
ME,Private,1011,153237429,18407422.63,10854801,182499652.6
ME,Proprietary,1011,19274837,8524216.21,320394,28119447.21
ME,Public,1011,198831089,82102892,17382326,298316307
MI,Private,1011,1019571116,224623143.1,29935763,1274130022
MI,Proprietary,1011,161359307,95706322.66,2663619,259729248.7
MI,Public,1011,2585058243,888056934.3,69881242,3542996419
MN,Private,1011,546193996,70029850.3,31010949,647234795.3
MN,Proprietary,1011,1760135859,193548514.4,6409910,1960094283
MN,Public,1011,1168697628,368348039.2,32197737,1569243404
MO,Private,1011,1208123921,156006729,41222303,1405352953
MO,Proprietary,1011,224719662,120355874.5,2776750,347852286.5
MO,Public,1011,908541981,395840993.9,21725739,1326108714
MS,Private,1011,141682604,30945012.47,3649785,176277401.5
MS,Proprietary,1011,4796063,8279145.38,41911,13117119.38
MS,Public,1011,595357324,423360814.2,22954534,1041672672
MT,Private,1011,22740440,7070741.75,1295174,31106355.75
MT,Proprietary,1011,2615798,1978432.7,0,4594230.7
MT,Public,1011,224581080,83225508.37,9275508,317082096.4
NC,Private,1011,711669976,128998085.4,34093919,874761980.4
NC,Proprietary,1011,116377695,21677422.05,1407649,139462766.1
NC,Public,1011,1198509378,862084342.9,36437384,2097031105
ND,Private,1011,30118339,10408490.22,1847776,42374605.22
ND,Proprietary,1011,3586698,1885728.43,,5472426.43
ND,Public,1011,185936461,48639837.14,9841002,244417300.1
NE,Private,1011,299183001,31813758.54,10076244,341073003.5
NE,Proprietary,1011,20082155,8749655.57,204104,29035914.57
NE,Public,1011,337500479,126993163.2,9163846,473657488.2
NH,Private,1011,214310236,19911788,13092388,247314412
NH,Proprietary,1011,33502971,15139450.21,1357014,49999435.21
NH,Public,1011,238405421,45693491.22,12358459,296457371.2
NJ,Private,1011,391476912,82599301.6,22535854,496612067.6
NJ,Proprietary,1011,238616393,121143004.5,3505546,363264943.5
NJ,Public,1011,1009160722,477582026.5,31209785,1517952533
NM,Private,1011,10546981,1773098.12,625580,12945659.12
NM,Proprietary,1011,19952885,7945676.83,620551,28519112.83
NM,Public,1011,336201945,233892908.9,14646105,584740958.9
NV,Private,1011,50434888,2342680.25,199661,52977229.25
NV,Proprietary,1011,59758697,20014145.04,438640,80211482.04
NV,Public,1011,244725964,117424316.6,4821572,366971852.6
NY,Private,1011,4486332484,538467700.3,197012048,5221812232
NY,Proprietary,1011,667309975,359357334.9,17359918,1044027228
NY,Public,1011,1826826346,1243923740,71437758,3142187844
OH,Private,1011,1244647603,211776630.9,53831219,1510255453
OH,Proprietary,1011,356246497,141509689,5262346,503018532
OH,Public,1011,2767213267,939661541.3,55385108,3762259916
OK,Private,1011,179343603,31201738.14,10456142,221001483.1
OK,Proprietary,1011,81608159,42955031.28,873492,125436682.3
OK,Public,1011,664900756,323342618.9,18250351,1006493726
OR,Private,1011,374793919,34567838.86,14123666,423485423.9
OR,Proprietary,1011,148684773,59879781.71,2009987,210574541.7
OR,Public,1011,981610741,361591961.9,28203789,1371406492
PA,Private,1011,2889876982,299554865.5,111592467,3301024314
PA,Proprietary,1011,698435076,289449881.6,13418587,1001303545
PA,Public,1011,1956663561,544355559.7,59921162,2560940283
RI,Private,1011,344390979,53027851.72,29594765,427013595.7
RI,Proprietary,1011,33276551,24675793.51,404611,58356955.51
RI,Public,1011,149891175,53083919.05,5929776,208904870.1
SC,Private,1011,239512367,78142467.05,11275870,328930704.1
SC,Proprietary,1011,58946682,19073771.34,551889,78572342.34
SC,Public,1011,897617201,384350490.2,20297610,1302265301
SD,Private,1011,40987486,9968821.76,3403899,54360206.76
SD,Proprietary,1011,115666116,32645958.11,755624,149067698.1
SD,Public,1011,204782006,63014032.12,9653613,277449651.1
TN,Private,1011,644254101,108988590.5,25008412,778251103.5
TN,Proprietary,1011,212205504,94246872.02,3030148,309482524
TN,Public,1011,881555698,472878685.5,23964607,1378398990
TX,Private,1011,996630881,166131013.4,33947826,1196709720
TX,Proprietary,1011,667491341,369231972.1,10318137,1047041450
TX,Public,1011,3584691412,2064023447,82230375,5730945234
UT,Private,1011,282450469,113776648.6,1284438,397511555.6
UT,Proprietary,1011,178750069,74880853.9,1987803,255618725.9
UT,Public,1011,392678071,250759792.6,17269097,660706960.6
VA,Private,1011,1009155979,147138648.6,22175217,1178469845
VA,Proprietary,1011,301616180,177430205.6,5776813,484823198.6
VA,Public,1011,1267291147,445434777,31081210,1743807134
VT,Private,1011,174004995,14725241.74,12722986,201453222.7
VT,Proprietary,1011,6596598,1477547.74,139260,8213405.74
VT,Public,1011,160921111,32528209.63,8575986,202025306.6
WA,Private,1011,407959686,42413190.91,21893413,472266289.9
WA,Proprietary,1011,127858089,61664161.74,1346554,190868804.7
WA,Public,1011,858103591,426812060.4,33297281,1318212932
WI,Private,1011,478410988,68793134.4,22984322,570188444.4
WI,Proprietary,1011,111617751,51829676.68,663949,164111376.7
WI,Public,1011,1071253687,361782442.6,51009707,1484045837
WV,Private,1011,119096361,26609262.11,4962167,150667790.1
WV,Proprietary,1011,153745441,63715024.64,1535488,218995953.6
WV,Public,1011,462985999,165790750.8,14948202,643724951.8
WY,Proprietary,1011,58005723,19817554.91,2576281,80399558.91
WY,Public,1011,62363128,33973714.82,2791194,99128036.82
AK,Private,1112,5050595,778783,122089,5951467
AK,Proprietary,1112,34420895,14542676.73,533928,49497499.73
AK,Public,1112,79737052,26274504.27,1430783,107442339.3
AL,Private,1112,277704898,52218309.27,9163840,339087047.3
AL,Proprietary,1112,267695804,112915650.7,3155040,383766494.7
AL,Public,1112,1078319038,432322241.6,27023796,1537665076
AR,Private,1112,108491039,26700573.49,4317352,139508964.5
AR,Proprietary,1112,14443477,9768181.06,8177,24219835.06
AR,Public,1112,597332624,294010189.9,14715283,906058096.9
AZ,Private,1112,46893403,2958727.02,1357815,51209945.02
AZ,Proprietary,1112,4348466855,1333301167,22611186,5704379208
AZ,Public,1112,1140260275,511726582.3,22476565,1674463422
CA,Private,1112,3701930442,244481190.1,118610779,4065022411
CA,Proprietary,1112,3229338867,1086484156,37230083,4353053106
CA,Public,1112,3164470279,2760967704,163740138,6089178121
CO,Private,1112,295600720,19553150.22,11618259,326772129.2
CO,Proprietary,1112,678273547,173914535.1,7891717,860079799.1
