"","State","School.Type","Year","Sum.Type.loan","Sum.Type.grant","Total.Disbursement"
"1","AK","Private","1011",5232550,877691.75,6110241.75
"2","AK","Private","1112",5050595,778783,5829378
"3","AK","Private","1213",4497423,696253.39,5193676.39
"4","AK","Private","1314",4172564,759311.5,4931875.5
"5","AK","Private","1415",3395531,747889.32,4143420.32
"6","AK","Private","1516",3004351,749581,3753932
"7","AK","Proprietary","1314",2956193,1632453.97,4588646.97
"8","AK","Proprietary","1415",2665432,1615459,4280891
"9","AK","Proprietary","1516",1121656,1161619,2283275
"10","AK","Proprietary","1011",33627627,15018191.59,48645818.59
"11","AK","Proprietary","1112",34420895,14542676.73,48963571.73
"12","AK","Proprietary","1213",27952228,13692383.45,41644611.45
"13","AK","Public","1314",69819900,25118442.02,94938342.02
"14","AK","Public","1415",61967120,24371923.7,86339043.7
"15","AK","Public","1516",53959404,20942253.47,74901657.47
"16","AK","Public","1011",76946704,25949939.4,102896643.4
"17","AK","Public","1112",79737052,26274504.27,106011556.27
"18","AK","Public","1213",75633641,25915927.18,101549568.18
"19","AL","Private","1011",264647605,75580659.31,340228264.31
"20","AL","Private","1112",277704898,52218309.27,329923207.27
"21","AL","Private","1213",260463987,50398665.77,310862652.77
"22","AL","Private","1314",239440189,49611746.81,289051935.81
"23","AL","Private","1415",250786808,50704219.22,301491027.22
"24","AL","Private","1516",247070868,46504180.66,293575048.66
"25","AL","Proprietary","1314",278947850,119474371.51,398422221.51
"26","AL","Proprietary","1415",272066784,116544214.49,388610998.49
"27","AL","Proprietary","1516",139192950,85688760.12,224881710.12
"28","AL","Proprietary","1011",257351346,120770333.54,378121679.54
"29","AL","Proprietary","1112",267695804,112915650.71,380611454.71
"30","AL","Proprietary","1213",277648482,118500750.58,396149232.58
"31","AL","Public","1314",1067976681,382524082.53,1450500763.53
"32","AL","Public","1415",1077112798,373703544.03,1450816342.03
"33","AL","Public","1516",973987624,332289417.61,1306277041.61
"34","AL","Public","1011",1043301102,488949099.52,1532250201.52
"35","AL","Public","1112",1078319038,432322241.58,1510641279.58
"36","AL","Public","1213",1054799161,393272945.46,1448072106.46
"37","AR","Private","1011",102162846,28328894.43,130491740.43
"38","AR","Private","1112",108491039,26700573.49,135191612.49
"39","AR","Private","1213",106604790,26012104.55,132616894.55
"40","AR","Private","1314",111361813,27193250.77,138555063.77
"41","AR","Private","1415",111081190,27194920.29,138276110.29
"42","AR","Private","1516",99649997,24981086.54,124631083.54
"43","AR","Proprietary","1314",14728326,10264500.23,24992826.23
"44","AR","Proprietary","1415",14347330,10035693.14,24383023.14
"45","AR","Proprietary","1516",7868455,7316344.6,15184799.6
"46","AR","Proprietary","1011",12466004,10474885.08,22940889.08
"47","AR","Proprietary","1112",14443477,9768181.06,24211658.06
"48","AR","Proprietary","1213",13802678,9477751.79,23280429.79
"49","AR","Public","1314",554457529,267508775.54,821966304.54
"50","AR","Public","1415",539713611,255997182.58,795710793.58
"51","AR","Public","1516",484319714,229288761.73,713608475.73
"52","AR","Public","1011",565132115,311242270,876374385
"53","AR","Public","1112",597332624,294010189.86,891342813.86
"54","AR","Public","1213",568986240,279555442.83,848541682.83
"55","AZ","Private","1011",48127669,3656709.67,51784378.67
"56","AZ","Private","1112",46893403,2958727.02,49852130.02
"57","AZ","Private","1213",44138880,3013059.4,47151939.4
"58","AZ","Private","1314",40337240,2641550.13,42978790.13
"59","AZ","Private","1415",32906614,2730721.99,35637335.99
"60","AZ","Private","1516",22615793,2553410.75,25169203.75
"61","AZ","Proprietary","1314",3425850594,1070139995.61,4495990589.61
"62","AZ","Proprietary","1415",2935723120,928403829.49,3864126949.49
"63","AZ","Proprietary","1516",1288422583,566464302.44,1854886885.44
"64","AZ","Proprietary","1011",4885580476,1727544966.53,6613125442.53
"65","AZ","Proprietary","1112",4348466855,1333301166.94,5681768021.94
"66","AZ","Proprietary","1213",3852199462,1198392747.54,5050592209.54
"67","AZ","Public","1314",1055652382,457938613.72,1513590995.72
"68","AZ","Public","1415",1079356297,453687595.42,1533043892.42
"69","AZ","Public","1516",1069042329,417084581.66,1486126910.66
"70","AZ","Public","1011",1043260795,501971639,1545232434
"71","AZ","Public","1112",1140260275,511726582.32,1651986857.32
"72","AZ","Public","1213",1078891066,474884456.41,1553775522.41
"73","CA","Private","1011",3564936282,247773001.32,3812709283.32
"74","CA","Private","1112",3701930442,244481190.12,3946411632.12
"75","CA","Private","1213",3665149120,251994389.67,3917143509.67
"76","CA","Private","1314",3705638312,261073214.38,3966711526.38
"77","CA","Private","1415",3598980148,261097766.91,3860077914.91
"78","CA","Private","1516",2863396401,231488344.71,3094884745.71
"79","CA","Proprietary","1314",2562643784,871342056.72,3433985840.72
"80","CA","Proprietary","1415",2166521884,779438795.41,2945960679.41
"81","CA","Proprietary","1516",1084282716,508267014.64,1592549730.64
"82","CA","Proprietary","1011",3655708795,954641377.55,4610350172.55
"83","CA","Proprietary","1112",3229338867,1086484155.54,4315823022.54
"84","CA","Proprietary","1213",2795901605,949727327.95,3745628932.95
"85","CA","Public","1314",2943190930,2902660253.07,5845851183.07
"86","CA","Public","1415",2837870830,3004900797.5,5842771627.5
"87","CA","Public","1516",2596287905,2620015794.53,5216303699.53
"88","CA","Public","1011",2918985000,2791128002.68,5710113002.68
"89","CA","Public","1112",3164470279,2760967704.31,5925437983.31
"90","CA","Public","1213",2976996591,2751822546.98,5728819137.98
"91","CO","Private","1011",291750471,19820545.36,311571016.36
"92","CO","Private","1112",295600720,19553150.22,315153870.22
"93","CO","Private","1213",287982320,20504132.02,308486452.02
"94","CO","Private","1314",296368202,28990432.32,325358634.32
"95","CO","Private","1415",286896637,26442418.81,313339055.81
"96","CO","Private","1516",213347795,21161053.95,234508848.95
"97","CO","Proprietary","1314",546501280,140289467.63,686790747.63
"98","CO","Proprietary","1415",498474250,137668623.16,636142873.16
"99","CO","Proprietary","1516",269135246,98581793.27,367717039.27
"100","CO","Proprietary","1011",769477092,238107454.57,1007584546.57
"101","CO","Proprietary","1112",678273547,173914535.12,852188082.12
"102","CO","Proprietary","1213",602159975,155011503.4,757171478.4
"103","CO","Public","1314",1074520202,304324288.51,1378844490.51
"104","CO","Public","1415",1057549404,290473612.8,1348023016.8
"105","CO","Public","1516",939618197,253126876.87,1192745073.87
"106","CO","Public","1011",1074111264,332714956.46,1406826220.46
"107","CO","Public","1112",1153659028,323706112.42,1477365140.42
"108","CO","Public","1213",1120449650,316387567.95,1436837217.95
"109","CT","Private","1011",455370654,50466123.24,505836777.24
"110","CT","Private","1112",480693816,46897686.26,527591502.26
"111","CT","Private","1213",478755895,47275668.85,526031563.85
"112","CT","Private","1314",499707529,49174760.65,548882289.65
"113","CT","Private","1415",517523986,51375209.2,568899195.2
"114","CT","Private","1516",464199543,48226792.96,512426335.96
"115","CT","Proprietary","1314",205430852,81203623.63,286634475.63
"116","CT","Proprietary","1415",190311056,78404059.65,268715115.65
"117","CT","Proprietary","1516",93456277,54618020.2,148074297.2
"118","CT","Proprietary","1011",201336620,86356948.64,287693568.64
"119","CT","Proprietary","1112",204339526,77679176.62,282018702.62
"120","CT","Proprietary","1213",204209409,78558034.45,282767443.45
"121","CT","Public","1314",359248868,145912294.83,505161162.83
"122","CT","Public","1415",370729667,148927692.89,519657359.89
"123","CT","Public","1516",364611654,139595826.95,504207480.95
"124","CT","Public","1011",357145095,136895612.15,494040707.15
"125","CT","Public","1112",370920681,137257936.67,508178617.67
"126","CT","Public","1213",361139116,140602674.03,501741790.03
"127","DC","Private","1011",914552220,40744565.4,955296785.4
"128","DC","Private","1112",948530230,39281805.03,987812035.03
"129","DC","Private","1213",915202179,38812195.84,954014374.84
"130","DC","Private","1314",921132999,41375696.11,962508695.11
"131","DC","Private","1415",921489937,41915922.9,963405859.9
"132","DC","Private","1516",846324655,38573074.28,884897729.28
"133","DC","Proprietary","1314",520813187,81325936.1,602139123.1
"134","DC","Proprietary","1415",510644725,84563025.43,595207750.43
"135","DC","Proprietary","1516",273749651,66848701.1,340598352.1
"136","DC","Proprietary","1011",684547866,116657807,801205673
"137","DC","Proprietary","1112",475834482,92063733.98,567898215.98
"138","DC","Proprietary","1213",593568681,94682102.59,688250783.59
"139","DC","Public","1314",29999238,9968667.09,39967905.09
"140","DC","Public","1415",27174257,9448189.76,36622446.76
"141","DC","Public","1516",22486463,7543860,30030323
"142","DC","Public","1011",21962975,10127580,32090555
"143","DC","Public","1112",27698685,9202644,36901329
"144","DC","Public","1213",29587690,9790191,39377881
"145","DE","Private","1011",90141158,16985379.74,107126537.74
"146","DE","Private","1112",92240013,16765039.01,109005052.01
"147","DE","Private","1213",96321067,16891634.37,113212701.37
"148","DE","Private","1314",99271127,17814522,117085649
"149","DE","Private","1415",100512590,17987943.4,118500533.4
"150","DE","Private","1516",77318552,16266700,93585252
"151","DE","Proprietary","1314",8564963,5126744.68,13691707.68
"152","DE","Proprietary","1415",7508213,4753133.9,12261346.9
"153","DE","Proprietary","1516",3623605,2787252.34,6410857.34
"154","DE","Proprietary","1011",10382296,6871355.82,17253651.82
"155","DE","Proprietary","1112",11125523,6466967.69,17592490.69
"156","DE","Proprietary","1213",8880708,5348947.19,14229655.19
"157","DE","Public","1314",146619366,40902115.05,187521481.05
"158","DE","Public","1415",150067459,41872427.03,191939886.03
"159","DE","Public","1516",146831740,38841063.77,185672803.77
"160","DE","Public","1011",136429985,39508858.17,175938843.17
"161","DE","Public","1112",147411350,40274640.67,187685990.67
"162","DE","Public","1213",143177443,39741444.95,182918887.95
"163","FL","Private","1011",1896961726,294329683.87,2191291409.87
"164","FL","Private","1112",1954044608,258033668.38,2212078276.38
"165","FL","Private","1213",1897072141,251919172.78,2148991313.78
"166","FL","Private","1314",2338249113,490486487.04,2828735600.04
"167","FL","Private","1415",2151872594,434123208.64,2585995802.64
"168","FL","Private","1516",1529096690,342384466.09,1871481156.09
"169","FL","Proprietary","1314",800774526,283983343.28,1084757869.28
